noise_level,mutual_information,true/error
0.9990009990009991,-0.017669751658994,0.000999999999999855
0.9900990099009901,0.017399332125083718,0.010000000000000009
0.9090909090909091,0.07827915841357712,0.10000000000000003
0.5,1.1960368697532702,1.0
0.09090909090909091,2.247625204618144,10.0
0.009900990099009901,2.7289585002847625,100.0
0.000999000999000999,2.9420481228174467,1000.0
9.999000099990002e-05,2.997490386045309,10000.0
9.99990000099999e-06,3.1183413995834757,100000.0
9.99999000001e-07,3.085727144249402,999999.9999999999
