model_size,noise_level,mutual_information,true/error
35M,1e-05,3.0400599980985885,99999.0
8M,1e-05,3.0388833958754558,99999.0
150M,0.0001,2.9481962323882405,9999.0
150M,0.909091,0.0290692948553432,0.09999989000001103
35M,0.990099,0.0332093358790813,0.01000001010000015
8M,1e-06,3.07652774338305,999999.0
35M,1e-06,3.132482531109131,999999.0
8M,0.990099,0.0081646519915819,0.01000001010000015
35M,0.909091,0.0579340521881779,0.09999989000001103
8M,0.909091,0.0871299819331028,0.09999989000001103
35M,0.0001,2.998106512188442,9999.0
8M,0.0001,3.09008384332244,9999.0
150M,1e-06,2.916702403536486,999999.0
150M,0.990099,0.0044206299629252,0.01000001010000015
150M,1e-05,2.853916475270221,99999.0
35M,0.999001,0.0028358147890375,0.000999998998999973
8M,0.999001,-0.0097228073076961,0.000999998998999973
150M,0.5,1.2796478082730969,1.0
8M,0.000999,2.9776979745790304,1000.0010010010009
35M,0.000999,3.016564636043721,1000.0010010010009
8M,0.090909,1.986902281840912,10.000011000011
35M,0.090909,2.17898223982362,10.000011000011
150M,0.009901,2.62310655829286,99.999899000101
150M,0.090909,2.111370166103675,10.000011000011
8M,0.009901,2.623161587292576,99.999899000101
35M,0.009901,2.57065962103558,99.999899000101
8M,0.5,0.7618842221524621,1.0
150M,0.000999,2.727555398115305,1000.0010010010009
35M,0.5,1.1881178236185557,1.0
